,0.0,0.0,0.0
92*false,0.0,-0.7129882504902385,0.0
-27*false,-9.5,2.693667845529423,15.320382105578823
-120*false,-10.0,0.0,0.0
9*false,-37.18501343414293,17.60184005846007,92.16355750200944
141*true,0.0,0.0,5.0
-173*false,0.0,0.0,0.0
32*true,0.0,2.3767949966972535,0.0
-133*false,0.0,0.0,0.0
-14*false,7.352429619983277,16.56943309449965,96.77294474069845
-67*false,0.0,0.0,5.510612044242405
-12*true,-25.05182082727484,13.948087824153832,53.22090452685748
-127*true,0.0,0.0,5.0
65*false,-7.722979903320834,0.0,0.0
-146*false,0.0,-0.2375,0.0
52*false,0.08756903976124648,0.225,2.6507515586134
15*true,-10.0,11.58994925784646,97.1126121146383
-173*true,-19.5,0.225,0.0
-2*false,30.21535877329579,39.14872373123966,199.13664440171252
12*false,-50.905861371283386,22.98420949392025,39.339095021517494
2*true,168.555646322567,58.52295475800826,189.47659601030847
-111*true,-10.0,-0.25,0.0
-94*false,0.03320666392025141,0.0,0.0
-54*false,-18.301631250000003,-0.014874999999999972,5.2250000000000005
-24*true,-9.5,2.845831874685764,28.15355802891238
25*false,5.055434209078774,1.6037267416455452,13.550884254374711
-139*true,0.0,0.0,5.0
-91*true,-9.775,0.0,0.0
-57*true,-10.0,0.21204787798763336,5.02620284416963
177*false,0.0,0.0,0.0
111*false,0.0,-0.25,0.0
-144*true,-10.0,0.0,0.0
-138*false,0.0,-0.25,0.0
44*true,0.0,0.22813609842659283,0.0
-132*true,0.0,0.0,0.0
158*false,0.0,-0.25,0.0
136*true,0.0,-0.25,0.0
84*false,0.0,-0.06137543016125635,0.0
19*true,-13.495270720454588,6.368422206820438,12.037974997892093
-35*false,0.29800245676007886,2.801475654544145,17.312056850146007
-75*false,-10.0,0.0,5.0
44*false,0.225,1.5624334118051968,5.0
-81*false,-9.761770343826981,0.0,0.0
-62*true,0.0,-0.25,6.127010016891924
60*false,0.0026366504172146005,0.0,0.0
-19*false,-25.991654592285663,15.062700848637824,46.84854841452119
-123*true,-10.0,0.0,0.0
-59*false,-9.088185944072727,-0.15043890880078184,0.0
4*false,-13.990783754012064,50.050704997430955,114.6959703162493
118*false,0.0,0.0,5.0
73*true,0.0,0.0,3.6279871364768335
-45*true,0.0,0.4389146523055159,9.650190011747737
20*true,20.48655561920058,14.573068298288929,41.29338331335765
124*false,-10.0,0.0,0.0
-99*false,-10.0,0.0,0.0
107*true,-10.0,0.0,0.0
120*true,0.0,0.0,0.0
-148*true,0.0,0.0,5.0
20*false,-27.24268763413913,15.111642380442596,15.612584552328789
-161*true,-10.0,0.0,0.0
48*true,0.0,1.4256464666488937,0.0
78*false,-9.025,-0.239419375,5.0
-41*false,-15.8204684488237,0.0,21.252383724064078
89*true,0.0,0.0,5.0
38*false,-9.275,18.875909817790408,0.0
-48*false,-8.47065378300766,0.0,0.0
31*false,-7.8440069986097045,-0.25,24.629236684117622
-36*true,-7.838030423459545,-0.14822119560301406,23.486311151986015
-70*false,0.0,0.0,0.0
174*true,-10.0,0.0,5.0
-88*false,0.0,-0.025,0.0
-20*false,-1.5919264902597763,5.340126015454503,62.173398868629775
178*true,-10.0,0.0,0.0
-95*true,0.0,-0.25,0.0
89*false,0.0,-0.026631249999999974,5.0
-118*true,0.0,0.0,5.0
59*false,-7.820091478294313,0.0,7.265303004578482
-48*true,0.0,0.6451386398928682,0.0
103*false,0.0,0.18875000000000003,0.0
40*true,0.0,-0.4875,0.0
-119*true,0.0,0.0,0.0
-65*true,0.0,-0.2398219392405565,5.246242979976979
-120*true,-10.0,0.0,0.0
130*false,-10.0,0.0,5.0
-165*true,0.0,0.0,5.0
140*false,-10.0,0.0,0.0
-50*true,0.0,0.5144532759832433,0.0
10*false,-50.91215664075423,43.88995397379631,120.2073411237206
-46*false,0.24381939988379775,0.5447296381729113,0.0
-144*false,0.0,0.0,5.0
-32*true,-18.64079089467665,9.37599330156316,11.43229502184985
-103*true,0.0,0.0,0.0
-69*false,0.22505285478445317,0.0,0.0
33*false,-13.46538354069369,2.1431069611768203,8.651555624906173
162*true,0.0,0.0,0.0
-94*true,0.0,-0.25,0.0
-9*false,13.307449361394486,27.03868043926469,116.3057216942031
11*true,-44.636187718039785,9.461274514714622,92.44243042842318
-167*false,-10.0,0.0,0.0
-19*true,-21.647590215307368,3.597151720417151,25.793428699497255
41*false,-8.204495437174522,0.0,0.0
116*true,0.0,0.0,0.0
-112*false,-18.525,0.0,4.75
36*true,0.0,0.0,0.0
-38*false,-25.098888428395203,3.5335407802311862,13.31412112353044
41*true,0.0,0.0,0.0
-21*true,14.254532466464038,1.0276911116509617,37.07827563075201
-43*false,-10.0,3.8372465901526716,0.0
36*false,0.0,3.7791787465950324,0.0
-28*true,-36.17082810499608,0.9148601336609123,29.95360339893662
-70*true,-9.40086454944113,0.0,0.0
27*true,-6.388649142311245,1.8935778312436555,71.45761288740124
-4*true,2.429823813588067,30.5970286175847,94.86893423514144
57*false,-10.0,-0.130716179862397,0.0
-109*false,0.0,-0.25,0.0
-37*true,-10.0,0.0,0.0
90*false,0.0,-0.67746875,5.0
-131*true,0.0,-0.25,0.0
100*true,0.0,0.0,0.17185202225416582
18*true,4.134169033229966,17.15656497503357,43.839524211560644
-22*false,-20.686582443066577,3.3610990625678845,26.342676225967217
-3*true,159.72367907391103,42.34397324208185,119.85970902300804
-159*false,27.91230988784094,0.0,0.0
7*false,-3.629493879615742,22.624523682516532,70.83238061854576
-141*false,-10.0,0.0,5.0
105*false,0.0,0.0,0.0
12*true,-41.49065734646201,14.354918962868917,92.60973141681055
-7*false,-32.430000188047224,18.406950931948757,112.43122955195273
56*true,-9.08480513125446,0.0,0.0
-16*false,-1.866004962911242,18.542502140569344,48.043768367565676
-136*false,0.0,0.0,0.0
63*false,-10.0,0.0,5.087569039761247
6*false,-6.467150985190766,20.752768153604382,135.89838268785715
132*false,0.0,0.0,0.0
-108*false,-10.0,0.0,5.0
6*true,-38.64024753854229,36.77762827377518,136.9148824221336
169*true,0.0,0.0,5.0
-41*true,-26.188365106050277,1.3838727252846232,17.37537205201048
-96*false,0.0,0.0,0.0
-170*false,-10.0,0.0,0.0
144*true,-10.0,-0.25,0.0
-66*true,-18.937345962083512,0.011664141156804298,5.0
-165*false,0.0,0.0,0.0
86*false,0.0,-0.25,0.0
179*false,0.0,0.0,5.0
-11*true,-0.04740702726574142,25.04849250704327,71.04833335223061
-56*true,0.0,0.0,10.08375373014657
-17*false,-35.21313980704056,13.754067072067999,31.00166687854083
82*false,-9.5,0.0,0.0
1*true,117.92243808209155,71.41613356524516,241.20160932158416
108*true,-9.775,0.21375,5.0
111*true,0.0,0.27187463999382055,0.0
93*true,-10.0,0.0,0.0
107*false,0.0,0.0,0.0
22*false,-9.19388609145596,2.143549440310908,25.840356389495724
-77*false,-9.756180600116203,3.0037386207626726,5.0
-24*false,-24.410079309003958,1.08322732005931,36.829837759970545
-176*false,0.0,-0.25,0.0
75*false,-10.0,0.6963626710225058,0.0
-44*false,-14.426121054065867,0.8905432791316965,0.0
-37*false,-12.467039738422697,0.2760299713521399,6.6689021014811205
31*true,0.0,0.1882983513298107,13.449003024633054
76*true,0.0,0.0,7.67119911897473
-42*true,-9.999154904121282,1.8087678395233753,17.066542256214927
-87*true,-10.0,0.0,5.0
114*false,-45.2438125,-0.47562499999999996,5.0
-128*true,-19.5,0.0,0.0
68*false,0.43875000000000003,-0.25,5.129847216715368
-54*true,0.0,-0.18304825923397414,9.75
-31*false,0.47010400809108543,2.663352554859826,5.001174550765626
-100*true,-10.0,0.0,0.0
28*false,-7.995128951499877,0.0,0.0
33*true,0.0,0.4592840208406302,0.0
-89*true,0.0,-0.18998903159567365,5.123670739219168
28*true,-5.871561492113775,7.5176777543411095,3.651943379107681
-141*true,0.0,-0.25,5.0
-135*false,-10.0,0.0,5.0
35*true,-9.5,0.0,10.24093445415919
14*false,0.6695485050395489,6.20324678550242,83.95665481504061
-168*false,0.0,-0.25,0.0
-25*false,-6.174293916946659,6.348168075436408,5.244685934984375
70*false,0.0,0.0,5.08571310373678
175*false,0.0,0.0,9.75
-129*false,0.0,-0.25,0.0
-29*true,0.0,7.2173351637391265,32.220495447069645
-5*false,-28.920683833615467,36.091813617942485,107.99788424550758
5*true,12.340542352564572,24.056108811859456,83.01301884363612
27*false,-5.449446053608877,5.054844952552879,20.243350592401733
67*false,-9.957497030367751,0.0,6.157423541384715
108*false,-10.0,0.0,5.0
-138*true,-9.775,0.0,0.0
-169*false,0.0,0.0,0.0
-116*false,0.0,0.0,0.0
83*false,0.0,-0.24106515195500688,0.0
-36*false,-15.163571862303991,4.516500924018581,8.58006509782275
15*false,-46.8257405072946,11.19452222941062,30.494806916338845
