,0.0,-0.25,0.0
-4*false,-2.9311470569659708,37.997546562915424,142.26197259743003
86*true,-10.0,0.0,4.5125
-128*false,-18.91156672139998,0.0,5.0
-122*false,0.2356428508957781,0.0,0.0
83*true,-10.0,0.0,0.0
-39*true,0.0,0.9992553512327611,10.380737068441505
10*true,110.61367524269475,22.420960593095558,107.83128469655028
171*true,-19.5,-0.25,0.0
158*true,0.0,0.0,5.0
-5*true,0.6074170276724615,8.739510229446699,184.83166743143195
159*false,0.225,0.0,0.0
123*false,0.0,-0.4875,0.0
-40*false,0.665953946906785,-0.2375,17.093097151879693
71*true,-9.775,0.0,0.26263613804199276
69*false,0.0,0.348858623155393,0.0
-30*false,-20.335364609427703,2.7571408548036533,0.0
173*false,0.0,0.0,0.0
-64*true,-9.775,0.0,0.0
148*true,0.0,-0.25,0.0
23*true,0.0,2.1609846907546095,0.0
8*true,15.307840875537817,7.5868121384605205,99.30246308454011
103*true,0.0,0.0,0.0
-7*true,40.7248699287843,12.176609736728707,105.69765623488237
120*false,0.0,0.0,5.0
-79*true,-10.0,-0.713125,4.75
-34*true,-9.948145702019325,0.0,20.74531570711474
73*false,0.0,0.0,5.0
-26*false,-10.0,0.07655014845518449,13.232678689607383
-49*true,0.0,0.0,7.0972226701944265
30*false,-10.0,2.0958897050972944,37.99441689209981
151*true,0.0,-0.25,0.0
19*false,6.0284372021215304,0.3082436955699637,26.22091754845291
-16*true,16.53398879049213,0.0,20.993630169113793
-86*false,-28.514889291649013,0.0,0.0
-97*true,-9.275,0.0,0.0
-3*false,-7.591920671987258,25.02356794027738,110.37145688651371
109*false,-19.5,-0.25,0.0
-133*true,0.0,-0.25,5.0
21*false,6.971307098643024,12.494933914176908,22.83270989262534
25*true,-9.652065521718233,2.43221715429826,11.590989355066423
-83*false,-19.275,0.0,0.0
-78*false,0.0,0.0,5.024441474563016
16*false,-11.374521007499478,2.5382229219376646,27.9589732506551
76*false,-9.764875000000002,-0.036249999999999984,0.0
168*false,0.0,0.0,5.0
-1*false,-5.845687287210312,33.24535045874795,186.4628215225767
-92*true,-10.0,0.0,5.0
171*false,0.0,0.0,0.0
91*true,0.0,0.04547663203712826,0.0
128*true,0.0,0.0,10.0094390625
43*true,0.0,0.2912331399681298,53.59671591610825
-85*false,-10.0,0.0,0.0
88*true,0.0,1.683954809774935,5.013105491298567
-91*false,0.21344828740977154,0.0,0.0
18*false,-17.514524422052965,1.760089724376205,52.638513857674454
74*false,0.0,-0.25,0.0
-59*true,0.0,0.19887500000000005,5.0
24*false,-26.3498891984622,0.4038178878880236,0.0
-119*false,0.0,0.0,5.0
-29*false,-32.30027636385522,0.37142302942152117,0.0
80*false,-10.0,0.0,0.0
131*true,0.0,0.0,5.0
-32*false,-26.367306181982705,1.6524705366701826,8.603215589318534
176*true,0.0,0.0,5.0
-168*true,0.0,-0.25,0.0
17*false,-17.77740877269793,9.258260230548782,26.11893185387013
115*false,-10.0,0.0,0.0
81*true,0.0,-0.25,0.0
-84*false,0.0,0.0,5.235125
-69*true,0.0,0.8662430531677111,0.0
3*true,61.75244980806064,13.76695043678843,155.08286037647
-79*false,0.0,-0.4875,10.005728837421277
167*false,0.0,-0.25,0.0
-177*false,0.0,0.0,0.0
-44*true,0.0,0.05234146404539132,0.0
-33*false,-18.05464915318055,-0.4875,30.324621404400673
-90*false,0.0,-0.25,0.0
166*true,0.0,0.0,0.0
121*false,-10.0,0.0,0.0
23*false,-18.91233084839292,0.19896507062241103,11.164821102157212
-28*false,0.0,-0.28824343750000003,26.235484533368314
-82*true,0.0,0.0,9.504605874910037
-100*false,-9.775,0.0,0.0
46*true,0.0,0.9131436454531402,5.090772458718114
-113*true,0.0,0.0,0.0
-153*false,0.0,-0.25,5.2250000000000005
-113*false,0.0,0.0,0.0
32*false,-9.275,0.0,6.576067587708382
29*true,0.0,2.868147419131093,33.54838440077806
-87*false,0.0,0.0,10.400816996118618
-72*true,0.0,0.225,0.0
-47*false,-9.395506702604354,0.0,5.94186189919682
-34*false,-31.778339272725205,0.7347730657254233,11.263241699526674
72*false,-18.817006336865425,0.0,0.0
126*true,0.0,0.0,0.225
-26*true,-19.046259979098465,6.04916018998832,5.0
17*true,-19.275,3.2627996578543565,54.41298879964606
-74*false,-9.025,-0.25,5.2544874807361275
-179*false,-10.0,0.0,0.0
45*false,0.0,0.0,20.27022387872141
92*true,0.0,0.0,9.79809375
157*false,-10.0,0.0,0.0
-43*true,0.0,0.0,0.23836670459753928
-118*false,0.0,0.225,0.0
138*true,-10.0,-0.25,0.0
-158*true,0.0,0.0,0.0
131*false,0.0,0.0,0.0
30*true,-18.324428082281855,1.280992994927198,0.0
-10*true,-10.011217746570503,21.15589970406009,149.44765135401957
-125*true,0.0,0.0,5.2250000000000005
-14*true,31.370746977665945,2.024033281853877,45.173215032134586
-171*true,0.0,-0.25,5.0
4*true,-10.153838710926205,18.531505267466216,132.82218985327634
13*true,-9.672765921129113,3.5088220324310244,59.39192239918856
167*true,-10.0,0.0,0.0
-67*true,0.0,-0.20896743432363474,0.0
165*false,-10.0,0.0,0.0
51*true,0.0,1.1872098354204952,1.9562746999503688
-139*false,0.0,-0.25,0.0
37*false,0.0,0.0,0.37889977313053763
-42*false,-9.656976744063678,4.166801257697535,11.111845943377226
77*false,-10.0,0.0,0.0
79*true,0.0,-0.25,4.856881399721716
-121*false,-10.0,0.0,0.0
-101*true,0.0,-0.25,0.0
-2*true,165.55774899629785,67.27258980521475,142.26568181320727
-134*false,0.0,0.0,5.0
42*true,0.0,0.0,5.682334078408477
-174*false,0.0,-0.25,0.0
-142*true,0.0,0.0,0.0
-93*true,-10.0,-0.44927295729953187,0.0
3*false,-15.609841763925143,15.996964372138372,95.01208552639011
-105*false,0.0,0.0,0.0
26*false,-16.89462286043688,0.0,18.998970249667984
155*true,0.0,0.0,5.0096187500000005
-13*false,-2.0861927337084856,11.032423516989821,48.21588353118172
-55*true,-19.468727062704225,0.0,0.0
-53*false,0.0,-0.012499999999999983,0.0
-93*false,-10.0,0.0,0.0
66*false,-9.5,0.0,0.0
38*true,0.0,1.8373325881862543,0.0
7*true,4.115166350968266,6.586616313518073,109.53069503549764
79*false,0.0,0.0,5.0
-17*true,-48.33751783332626,4.527348557443896,18.610289833150215
133*false,0.0,0.0,0.0
164*true,0.0,0.0,0.0
-50*false,-7.374660786305293,0.0,5.00849375
176*false,-10.0,0.0,0.0
-137*false,0.225,0.0,0.0
163*false,0.0,0.0,0.0
5*false,7.052830409109372,20.44648257392193,99.7510369711439
-80*true,0.0,1.290369628852367,0.0
99*true,0.0,0.0,0.0
-151*true,-10.0,0.0,0.0
110*false,0.0,0.0,5.0
-18*true,-9.910080651027853,8.858439469778881,53.11607502523008
134*true,0.0,-0.25,0.0
8*false,-48.705792133236855,29.177136862502806,58.10236063980883
84*true,0.0,0.0,5.01181862621189
93*false,0.0,-0.25,0.0
-89*false,-9.775,0.0,4.9929423955502115
-164*false,0.0,0.0,0.0
22*true,-9.330442104734281,5.366992955410774,0.0
-66*false,0.0,0.0,14.645324102668393
-172*false,0.0,0.0,0.0
-51*true,-10.0,-0.25,0.0
-46*true,0.0,0.5448285033846857,0.0
-23*false,-32.66500561843531,8.253426813862681,28.884098733717614
-80*false,-10.0,0.04685641729693262,5.0
13*false,-16.87439466495498,3.598701633294853,29.770471625666296
-18*false,-19.669239914418807,5.627728754134309,29.9074752334436
55*true,0.0,-0.25,5.0
105*true,0.0,0.225,5.0
-98*false,0.0,0.0,0.0
-117*true,0.0,0.0,5.0
-6*false,-7.282222184577124,6.526840389193774,49.031961252056405
149*false,0.0,0.0,0.0
56*false,-8.702825988570433,0.0,0.0
60*true,-8.245617417747935,0.0,0.0
21*true,-10.0,4.028068454149093,23.895095461863807
-45*false,-9.775,0.0,0.0
-146*true,0.0,-0.025,0.0
-15*false,-33.86469616981135,0.7793634163210321,48.46711044412321
-95*false,0.23512500000000003,-0.25,0.0
-8*false,-28.10714896628651,9.726465297857413,104.66581607775822
34*false,0.05826669187642624,-0.25,6.729217888206178
-22*true,17.80634116365905,2.500419835359486,64.16802722201739
-9*true,-24.762049438098394,44.57536135422893,76.26008646598338
-75*true,0.0,-0.4875,0.0
-39*false,-10.0,-0.2375,0.0
106*true,0.0,0.01098258130525606,0.0
87*false,0.0,-0.25,0.0
-72*false,0.4502577976839575,3.9379188143132984,0.36702832646179034
128*false,0.0,-0.014874999999999972,0.0
-76*true,0.0,0.0,0.0
-31*true,0.0,0.5400680680415613,0.0
-150*true,-10.0,0.0,0.0
50*true,0.0,0.0,5.0
-60*true,0.0,0.0,0.0
0*true,523.7493068176645,260.70182177326075,334.4149477768786
35*false,-8.175886713779144,0.0,8.756308029610157
-85*true,0.0,0.0,0.0
37*true,-9.98182819504504,-0.1467275412818872,6.288369600825071
40*false,-9.022377998865561,0.26263613804199276,0.0
58*false,-10.0,0.0,0.0
-21*false,-12.578352607936125,0.38637936946001283,66.85332293453223
-137*true,-28.301631250000003,0.0,0.0
-47*true,0.0,0.0,0.0
-68*false,0.0,-0.25,0.0
29*false,0.0,2.9948486726848063,12.886161458800064
-142*false,-10.0,0.0,0.0
11*false,-43.11614954846017,6.761491127793764,89.02433715062224
-175*true,0.0,0.0,0.0
163*true,0.0,0.0,5.0
139*true,0.225,-0.2375,0.0
-110*false,0.0,0.0,5.0
-1*true,106.69649764205474,62.64119586547842,150.63861969660465
-25*true,0.0,0.08419382787312268,49.12860929577794
-174*true,0.0,0.0,0.0
16*true,52.13088233549543,0.721712236988672,27.57725968483055
-143*false,0.0,-0.014874999999999972,0.0
-97*false,-9.775,0.0,5.2250000000000005
-126*true,-10.0,0.0,0.0
62*true,0.0,0.0,0.0
95*false,0.0,-0.2375,0.0
-73*true,0.0,0.0,5.239759227362255
173*true,0.0,0.066406834265767,0.0
-112*true,-10.0,-0.025,0.0
-57*false,0.0,4.166801257697535,0.0
42*false,3.2945817935313224,0.0,5.0
-157*true,0.0,0.0,5.0
142*true,0.0,0.0,9.75
14*true,25.79378890090932,2.1201638771643525,61.50942449459475
95*true,-10.0,-0.010221874999999991,0.0
140*true,0.0,0.0,0.0
-40*true,0.0,0.8921921692871687,32.83067680237796
-27*true,-16.769138000077785,4.712955944204408,28.826089142879255
1*false,4.310000256194818,28.446517135196256,147.3153895908998
48*false,0.0,-0.42923330812357374,5.0
-11*false,-28.57858961779341,14.183530999199276,63.71840963819735
-51*false,-10.0,0.0,10.854078427481571
127*true,-10.0,0.0,0.0
47*true,0.0,0.732092567051216,0.0
-13*true,-23.03711286159426,17.533676291873697,41.499524152244504
54*false,-8.513494516452411,0.0,6.16191356619792
-65*false,0.0,-0.25,0.0
148*false,-10.0,0.0,0.0
-12*false,-36.27488514726514,12.831575100437895,27.538434290038353
94*false,0.0,0.0,0.0
-30*true,-26.56131490148279,-0.25,71.62927456474941
-151*false,0.0,0.0,0.0
-23*true,-10.0,5.970741877239838,35.66754417568259
-49*false,-9.309637545370373,0.0,6.038394554432852
26*true,-10.0,2.545916053889502,36.479526530015804
-52*false,0.0,0.0,15.561027061738244
-61*true,0.0,0.0,5.0
135*false,-10.0,0.0,0.0
57*true,0.0,0.0,0.0
-111*false,0.0,-0.2600625,0.0
-167*true,-10.0,0.0,5.0
-8*true,-18.996879297966768,22.002813366118524,113.0954360020966
-64*false,0.0,0.5982833078207429,5.0
55*false,0.0,0.0,5.258240645303331
43*false,0.0,-0.25,0.0
147*false,-10.0,0.0,0.0
-157*false,-10.0,0.0,0.0
152*true,-10.0,0.0,0.0
177*true,0.0,0.0,0.0
-150*false,0.0,0.0,0.0
-58*true,0.0,0.543143879178119,0.6170874500132976
-71*true,0.0,0.0,0.0
-149*true,-10.0,0.0,0.0
99*false,0.0,-0.25,0.0
2*false,4.702232108138067,44.275367228266326,148.18994420740162
-10*false,11.760101599746179,27.145038351916167,89.45439554726383
-81*true,0.0,0.0,0.0
39*false,-15.927601857103374,3.906323766309601,5.0
-6*true,-1.3500850823049095,19.270253981923773,56.97250866598448
-78*true,-19.5,-0.25,0.0
-33*true,-9.493154123521299,3.7573753451396996,5.592898143695575
-147*false,-10.0,-0.25,0.0
69*true,-19.444646642717395,0.0,10.7653125
24*true,-9.963447860420331,1.4234151136304363,0.0
54*true,0.0,0.0,5.0
-20*true,74.29545989690573,40.422098183351935,21.197687701030123
100*false,0.0,0.0,0.0
150*false,0.0,0.0,0.0
-104*true,0.0,0.0,0.0
-35*true,0.0,1.2289861547849192,1.1631436454531403
53*false,0.0,0.0,0.0
-83*true,-9.775,0.0,0.0
-58*false,-8.8,0.004487480736126682,7.768106661847113
90*true,0.0,0.0,0.0
-152*true,-10.0,0.225,0.0
-152*false,-10.0,-0.2375,0.0
-106*true,0.0,0.0,0.0
-63*false,-9.5,0.0,5.0
132*true,0.0,0.0,5.0755922931466735
52*true,-10.0,-0.2375,0.0
39*true,0.0,2.0171657492913955,0.0
96*false,0.0,0.0,0.0
-155*false,0.0,0.0,5.0
-55*false,0.0,-0.25,10.083111575589614
-98*true,0.0,0.0,0.0
-53*true,0.0,-0.025,0.0
138*false,0.225,0.0,0.0
97*false,0.0,0.0,5.0
0*false,47.81640375025366,119.31560128580676,184.2099685175886
-124*true,-9.775,-0.25,0.0
119*true,0.0,0.0,0.0
82*true,0.0,0.22558974710843552,0.0
-169*true,0.0,0.0,0.0
-162*true,0.0,0.0,0.0
50*false,0.0,0.035715935205505554,5.2626361380419935
9*true,46.80722753502576,39.99437738935662,18.585747181230953
47*false,0.0,-0.25,0.0
-62*false,0.0,1.2861398394916845,5.655277349691704
-15*true,0.0,6.962165959942883,15.98931648181568
-149*false,-10.0,-0.25,0.0
137*true,-10.0,0.0,0.0
49*true,0.0,0.0,23.00384370878044
-159*true,0.0,0.0,0.0
-56*false,-28.07616656769102,0.0,0.0
-88*true,0.0,0.21268125000000002,0.0
-61*false,0.0,-0.036250000000000004,0.019743750000000004
109*true,0.0,0.0,0.0
72*true,-9.775,0.0,4.75
51*false,0.0,-0.25,0.0
-148*false,-10.0,0.0,0.0
-102*false,0.0,0.0,9.770261600895779
144*false,0.0,0.0,0.0
-63*true,0.0,0.0,0.0
139*false,0.225,-0.24937499999999999,5.0
