,-1.153876784830188,0.0,0.0,0.0
1*0-17,-28.198992578868786,-123.40511838472091,-152.3909007123922,-431.71092247712414
4*5-0,-642.2846009321429,-198.95314019705987,-230.51697005604,-46.7524841926991
4*5-1,-412.7549786034775,-42.013888880325,-320.6184831456734,-37.00886050633588
4*5-2,-378.8764922379548,-57.00464463259325,-33.26312688439303,-27.2031342800059
5*3-9,-86.70268483133285,-122.70474166570757,-36.47844947007753,-229.1136176903844
4*5-3,-39.220597859441,-30.10645440819795,-38.91927942908891,-53.45571648941793
5*3-7,-293.05976327108056,-32.66551023069516,-169.628467216307,-32.48637904007081
4*5-4,-32.06279737034169,-32.56772852885608,-45.878304075582065,-382.73992246965634
4*5-5,-82.68847427886499,-124.41185918311847,-46.96881963758997,-109.43968087986612
5*3-8,-48.120176761523496,-41.586307071526456,-71.63561266983558,-38.40015681575553
5*3-5,-1065.7078255869205,-37.829875084179996,-424.18281376190805,-36.41137049164306
4*5-6,-44.58946621258035,-122.66322057832062,-41.1903646978555,-426.92634788042017
5*3-6,-327.66522187001334,-43.08317324552748,-182.44446870030154,-31.368431398901105
4*5-7,-183.41524368907554,-108.9172866272487,-41.1219967459658,-521.1056610265947
5*3-3,-127.2456783492331,-177.6967503047313,-470.28839251818124,-31.62911876706113
4*5-8,-40.76574035015176,-314.8776554054838,-123.01183703679604,-650.0605305494514
5*3-4,-420.85386799627514,-31.206290603850338,-206.69249732170306,-37.60720084112025
4*5-9,-263.96558902273455,-774.7888421685936,-86.47858739668776,-650.7723759689744
5*3-1,-71.5443143323695,-39.494874683300765,-392.12419243313445,-29.158713273632888
5*3-2,-139.9139238118807,-29.423101436356585,-263.5241034382886,-32.55657184802204
5*3-0,-43.163212245880615,-191.99638997634992,-213.83824237128502,-121.53799486453889
2*0-14,-26.06696773972752,-27.197267708184242,-27.390274510060294,-261.38765977291865
2*0-15,-31.542984784947937,-33.747874725831004,-37.16193543818473,-255.8738531176721
2*0-16,-176.95953372163606,-460.1545660536515,-117.82743498867836,-360.09314622840236
2*0-17,-31.069864316262098,-823.4327811069202,-33.995057735605755,-494.6651629615442
2*0-10,-168.9873772755199,-74.7831146187305,-136.43860888894497,-28.360398636143422
2*0-11,-97.06048767170805,-32.91275490432871,-63.455735929872745,-31.939504848310925
2*0-12,-389.2548103587304,-31.078178987129867,-153.15189911634522,-218.6597366676332
2*0-13,-64.59483721055558,-31.306659372053527,-22.95516463797508,-276.81074147805987
2*1-16,-29.10151061332502,-29.58479717545128,-29.56865346242098,-27.829930837205634
2*1-15,-27.210203162648718,-21.42943209749025,-26.63832721538573,-136.78174452868538
2*1-17,-30.03015333434501,-100.48868900407811,-28.171130202785537,-140.26671893173616
2*1-10,-30.80048157304527,-26.568233581361053,-26.008147052452916,-26.752770721131927
2*1-12,-29.742383211425345,-31.206995328544227,-104.76088686444128,-28.042600902331166
2*1-11,-124.96089496960394,-32.690706825910375,-29.886390786663902,-30.648580729355256
2*1-14,-26.37497292397873,-25.555426296964196,-21.045081971105773,-26.831586295749897
2*1-13,-27.012530041014287,-27.531189348842457,-20.497640700964347,-28.82463715424363
1*1-10,-161.66715987846004,-30.365990518872337,-43.05145630912396,-31.3537210779228
1*1-11,-33.2240570557458,-29.796822900583557,-138.11539768628109,-27.631381622494224
1*1-12,-83.7772664842743,-31.028197895929765,-60.32674892630215,-29.410794317457263
1*1-13,-29.2448776549724,-29.095476517059577,-115.83731802348487,-27.451757152872236
5*4-8,-140.00291889271938,-41.006640314089225,-161.16303826917763,-311.1241087642255
5*4-9,-259.969415145735,-127.27777525047568,-35.01464760040946,-263.8921015764528
5*4-6,-121.15828119196213,-40.08769200859523,-48.26311453528358,-37.7010791663761
5*4-7,-103.03839751731742,-37.54255730331398,-269.25005658425187,-69.15314188479792
5*4-4,-620.1897748003307,-33.5601770998967,-351.6473257621824,-151.91694959967973
5*4-5,-511.2427981901817,-165.32499932601604,-311.520978378043,-52.41590654757068
5*4-2,-160.40051237694468,-32.348356143655415,-335.021905367293,-37.85128864711677
5*4-3,-162.49185140863045,-29.705808054130802,-449.6841117475067,-40.928087789525804
5*4-0,-58.343156303607806,-44.27560811852429,-232.86098887123885,-37.606652103350214
1*1-14,-25.28743933684479,-23.32596762329061,-16.5129368292276,-24.770644417932697
5*4-1,-86.38080785658376,-44.30559963764078,-265.5900650240771,-34.86225547571694
1*1-15,-153.82422195669903,-15.96163486377753,-24.67133333850523,-113.89175148437064
1*1-16,-25.32759999406676,-20.836594110403663,-24.270186241885536,-157.71590989379465
1*1-17,-23.11592444760179,-27.708437059580863,-25.751331262687042,-27.85330221308082
3*5-11,-35.36834102367555,-569.4027049131707,-50.8688694848255,-41.07986044241331
3*5-10,-35.899396364083564,-138.29610522341991,-33.91362935504793,-250.1308382324066
3*5-17,-192.53107021468006,-99.75300083275889,-437.05847060880865,-32.5494995682997
3*5-16,-280.2953621577746,-41.32294094153628,-563.7139327626525,-179.06437245958563
3*5-15,-116.48509146910425,-36.560696018519636,-660.245828013261,-36.59330325487811
3*5-14,-69.43595775587251,-47.94555355027339,-431.03726922575953,-32.69652839334176
3*5-13,-32.79534952287056,-39.70582237022977,-59.456539785933494,-149.46036407050522
3*5-12,-33.98813125118126,-230.0920751091173,-36.430513416803684,-57.93160204006382
3*1-5,-30.371274532503495,-28.974000279675717,-30.37085055419142,-31.668502972289836
3*1-6,-26.259115654731282,-24.777148489522173,-60.16467967401964,-21.387323987567846
3*1-3,-29.099044896857304,-27.11643418667259,-29.24783631249687,-30.75558609331609
3*1-4,-31.68000579658033,-31.5902580713422,-33.00074896311304,-30.245727271376023
3*1-9,-29.439221941632095,-29.234698274271473,-80.2515857043328,-25.43654461193466
3*1-7,-16.408892017400795,-25.964370685897954,-46.99064310800354,-23.293985560618403
3*1-8,-37.82626662880486,-30.4716571949465,-101.37735305150116,-27.4814333257071
4*5-10,-82.05929755041915,-264.82721854623543,-179.64493815705134,-236.76312314151323
4*5-11,-37.984540229912895,-459.21297159347273,-74.90907692132278,-53.78236280395303
2*3-0,-18.76398782500377,-25.234573693338398,-25.58570407427103,-24.937417446184146
4*5-12,-39.46150020316773,-245.37831685442825,-207.68085685899624,-176.31160867425788
2*3-1,-33.10385151219903,-29.139220710910845,-32.45137942523887,-32.67455638505113
4*5-17,-347.9910255674771,-33.01039828291383,-259.0824444810181,-73.81508433336239
4*5-13,-52.55050358666904,-410.01611029371213,-410.633291701487,-159.89963563230688
4*5-14,-50.860264076079574,-190.01039628124798,-278.2734415584747,-47.06045574725621
3*2-17,-30.772881403449805,-30.013300334580933,-29.486189478680867,-30.324273433948914
4*5-15,-57.710620139409905,-99.30802091465075,-343.06422184898156,-32.234628342704355
4*5-16,-387.0248845974118,-148.25976384767765,-191.721039222401,-32.80024211454501
3*2-15,-26.309785313503635,-26.0774019424415,-23.909245413596675,-26.494357849180055
1*5-0,-566.7446301084219,-117.30356871036635,-262.7907225630365,-53.90583357299954
3*2-16,-29.098522796855487,-28.131187846028666,-28.902509746399954,-27.935471214897127
3*2-13,-32.45152588753559,-26.89965455155026,-32.156734216172936,-32.07054527520182
3*2-14,-29.864256309265492,-31.315319572794515,-30.62060180191378,-31.985784892846485
3*2-11,-18.6069998955733,-29.462505406843466,-29.27793950017358,-124.96419905828445
3*2-12,-30.371072742303813,-27.990299952198107,-29.46700089040605,-29.1775823766913
3*2-10,-26.59075066573726,-28.7748924116265,-25.0765297559375,-17.79348437983513
1*5-7,-53.7177723300936,-463.1382029337851,-140.14798118320303,-521.4412833072242
1*5-8,-123.56756419089562,-403.20980990765486,-36.70696939430575,-655.9814139941611
1*5-5,-110.05688544384527,-185.63602525930463,-36.427622528218556,-89.35594198296315
1*5-6,-36.71451334182695,-109.05664449023404,-164.70069422901304,-343.7357811285319
1*5-3,-250.6735613306855,-150.030745833116,-29.444077024226253,-162.09943993109675
1*5-4,-37.23498213949164,-135.83177775165314,-32.93597876585336,-122.32981829213968
1*5-1,-433.7824053266568,-47.238053132518246,-218.9544613335785,-174.46435225529882
1*5-2,-305.568581801945,-149.26643518437868,-142.2996196414916,-56.94189744150701
1*5-9,-32.13909318715822,-240.91213166375414,-116.37930050744656,-307.06662468715245
2*3-6,-32.57089490526222,-16.529861205408373,-26.725107414489294,-31.362113893591868
1*2-11,-27.39763061570205,-34.55007375903988,-82.95368898547463,-36.296828805087394
2*3-7,-32.6160013407421,-26.333980595478426,-32.15100066166021,-31.80051516950547
1*2-12,-33.49619042379089,-33.99249982851708,-62.25780850005293,-31.981485283099968
1*2-13,-33.14188360933123,-82.68267529459466,-33.154909451995906,-80.09221147988488
2*3-8,-31.378797717938518,-30.174955437060472,-30.02009624376608,-36.074567904256824
2*3-9,-30.536196216149726,-29.211908213291963,-28.236496486597375,-28.769409983837328
1*2-14,-51.53400971674673,-31.78414378095869,-31.393300211419444,-27.975886973031884
2*3-2,-29.844214886773155,-31.988987632207763,-30.240673072097835,-30.09428042651686
2*3-3,-28.587983809148852,-28.606231463243816,-30.396871767881333,-22.932285392630366
2*3-4,-28.350071541330532,-28.445100620675078,-19.25394053874627,-27.348957877281542
1*2-10,-29.633085458465132,-28.539211235126004,-27.26857173701319,-29.842363984442745
2*3-5,-32.116444482895524,-27.003205586862087,-25.377302179847426,-33.46790664426586
3*1-1,-24.04361362129738,-153.1906147894923,-28.014848581289545,-25.1372192396506
1*2-15,-197.10381285754866,-31.115606671472484,-32.75736495423829,-29.62178022140176
3*1-2,-22.22051898614927,-167.6429446753373,-27.191452117083095,-26.850962378348957
1*2-16,-28.29325812701144,-29.38209409493935,-27.970340807606938,-26.352212868569904
1*2-17,-28.035406568816985,-26.33599915345914,-22.570722464789718,-27.48216765014679
3*1-0,-30.035059152673,-29.46618193451642,-25.395405464974534,-29.95640554218217
3*2-4,-31.00808932492131,-23.645670035655954,-30.63105067440847,-29.685605634025958
3*2-5,-31.429493823893356,-29.759236340205494,-22.181490685243435,-30.17323710920656
3*2-2,-23.953685139308746,-25.612016393344927,-13.874333670780125,-26.84904348690157
3*2-3,-26.304755421076507,-15.170899753965022,-26.73205877796968,-138.7508297136551
3*2-8,-28.832582844627872,-27.03336674231021,-20.450621531273285,-26.612057566168286
3*2-9,-28.419768014833807,-28.345559999499514,-27.79691536400607,-22.739430714980518
3*2-6,-18.84921384398015,-25.966884644801528,-25.176095348681955,-24.647482796881178
3*2-7,-32.21297335163705,-28.972191338682574,-31.11261801058941,-31.23377469665899
2*4-0,-60.939609555962015,-30.47278432239281,-30.95511132947887,-26.188784122498703
4*0-3,-46.27007640816537,-181.52759555947168,-148.49055344170802,-58.89805686731593
4*0-4,-216.94444083601172,-186.87764335723324,-237.39324985804046,-168.7906799272961
4*0-5,-41.77081045251333,-50.803310221780855,-114.57406799189846,-36.52898443722045
4*0-6,-92.10208670710196,-38.11787615563483,-274.9218957251509,-40.917670521059094
4*0-7,-309.62247460650264,-58.46419286859253,-635.9457639928855,-173.59633396681045
4*0-8,-446.24877593717105,-112.10194053989757,-420.9952297829799,-39.51731306899698
4*0-9,-438.67041115850066,-30.755235319565806,-180.3835141641559,-40.20166471118629
5*2-11,-31.53323644987038,-202.3365985302161,-52.97134343958583,-651.2013413741729
5*2-12,-37.228183085519284,-295.9051426378751,-115.36249866073325,-647.2002189528755
5*2-13,-40.98396365350976,-595.3503681985549,-45.395202212722914,-304.0524786810917
5*2-14,-105.73910738991556,-483.258738054511,-29.18482556021055,-501.8601971419868
5*2-15,-30.818963716283445,-200.0580769489051,-103.77370880756979,-377.2933004542899
4*0-0,-29.676991945778763,-303.8054564526572,-65.0428081013461,-255.87295353433538
5*2-16,-37.29659444159393,-232.49838680329424,-126.06052894586533,-65.86793460755743
4*0-1,-71.31789283390825,-496.54206678508245,-195.57667600325618,-454.52044706869196
5*2-17,-34.84137866600039,-176.9282075531865,-235.71569124900418,-57.31762744923838
4*0-2,-60.54839706780507,-359.71215506309005,-149.63416266846738,-129.4794081903924
2*4-5,-32.628815563651614,-29.412150046437855,-30.083581507629585,-32.32385158493681
2*4-6,-28.759604584256525,-26.646672107274302,-27.419242996037063,-30.84542322843155
2*4-7,-31.991979787849033,-33.93813372606877,-33.09672507464079,-156.6746808564127
2*4-8,-34.18430249064104,-33.05877032869868,-34.17277018300069,-112.14244651553781
2*4-1,-49.86175162929823,-30.83624645447976,-33.126477244164555,-28.8524862450328
3*1-17,-29.06236773849012,-136.84096792470103,-34.416072316684385,-129.79826818567244
3*1-16,-30.328762816718463,-29.486486644166252,-27.055894034774713,-196.69078327026006
2*4-2,-74.87887153981389,-31.352135656083913,-26.98719653547853,-149.0137606716841
2*4-3,-24.68688550725043,-29.776744823576927,-28.757780879849786,-29.844965013521346
2*4-4,-31.81571605886158,-31.488466106857963,-32.40630035773422,-30.47875506899108
5*2-10,-37.554211376460145,-74.82123513826856,-28.270208801178704,-298.4664390196031
3*1-13,-26.80077127008383,-14.724830699193209,-27.3400267677691,-27.575524154450072
3*1-12,-26.640196740905285,-23.739593497174937,-16.45394352422591,-24.6872578207242
3*1-15,-30.445911624507616,-30.104859119851785,-30.811905191616756,-30.778818139986186
3*1-14,-26.80390015681794,-25.709524542882576,-27.054304544379296,-29.101144997165793
2*4-9,-38.03164163493133,-113.02711983622,-33.78512572221895,-87.64085086681055
3*2-0,-28.027315562877945,-28.21878597681345,-27.575614884637456,-28.15140514736595
3*2-1,-27.674267740061598,-28.203434771283572,-29.341053638924027,-24.91533633869298
3*1-11,-137.0701245914544,-25.059659599068038,-24.053315558953265,-25.34289289694496
3*1-10,-25.569031484590187,-24.582777333733173,-26.95069766959242,-26.027321452422296
5*1-17,-54.82619133096335,-212.5136907403141,-217.90310417867767,-192.0432467803905
3*3-3,-26.508266316831662,-26.57138121367385,-23.545182378503892,-27.046051450293163
3*3-4,-29.968685427702454,-88.64938480385283,-30.249543786992938,-30.17385880616365
5*1-16,-31.056408625634827,-460.18667770278125,-100.9058071006602,-197.29855302323602
3*3-1,-29.470564736739007,-31.98862632280245,-32.749839478217126,-31.389820684949868
5*1-15,-169.50565371298808,-673.5869024630653,-34.91821182984433,-386.9324810782664
3*3-2,-25.673308536830564,-30.09462324687957,-30.335787101018575,-30.38414386960389
5*1-14,-185.17449353487268,-531.9583621155994,-92.3047975292724,-309.4504709409024
5*1-13,-245.2408466172481,-486.09016257649165,-63.358986457386784,-530.2208547445751
3*3-7,-31.516380806597148,-29.84536950444897,-26.2444670810495,-30.433808005512837
5*1-12,-47.53493160164854,-446.8599226954049,-127.13329469495152,-310.910078020766
3*3-8,-24.1397983953976,-33.591139381504476,-34.29793270179216,-34.661871810988366
3*3-5,-27.942168477621596,-29.926471008021547,-27.80628563556069,-29.053295809065723
5*1-11,-166.69729062109246,-280.5200920076576,-46.68774165679187,-257.4563956131424
3*3-6,-30.10280812655149,-31.450397982018657,-25.221135623480766,-31.027962347681115
5*1-10,-176.18848177682332,-133.6857779272942,-67.59442010070791,-425.84867548685367
3*3-9,-32.28572746128308,-31.610298240443036,-30.568954447241754,-31.834978136017362
1*3-13,-87.13673236459462,-33.614563769078,-33.893207603368595,-30.91028159587252
4*1-2,-30.669158021426654,-120.77191375938904,-25.345034134492344,-28.85820040838054
1*3-12,-37.40343209501923,-51.3968186226946,-119.99876807371935,-29.170661664760544
4*1-3,-25.81528595456417,-29.231394964224002,-165.49560988174744,-29.331652411564697
1*3-15,-27.67018379345385,-28.140459509827878,-27.84746162789772,-24.13987978147987
4*1-4,-33.919811953217064,-27.346764040135806,-36.65435479945044,-22.559643824590655
0*0-16,-407.8865642073036,-250.39774857279866,-38.82022794079501,-737.2668626107147
1*3-14,-163.9592937817943,-34.06212454430741,-37.20986821691782,-28.491017435422748
0*0-17,-360.0666633227538,-424.51175483463294,-51.07474684639546,-432.2188609253105
4*1-5,-56.000855017597345,-23.748571113514267,-29.227073805992468,-28.118099909432804
4*1-6,-117.914564664421,-29.34318437447814,-31.536111999353174,-25.04371975744215
0*0-14,-499.69694836781883,-168.74846168756977,-656.706590779934,-395.85537260005543
4*1-7,-68.47427050949155,-29.498516934357013,-31.23654312097125,-20.93625349019161
0*0-15,-391.01210405061767,-223.54861665005694,-393.42770895504117,-351.1064234452824
4*1-8,-22.08124952687457,-31.470517249772485,-117.86001837038307,-30.497731468656895
1*3-11,-33.55657014133384,-32.89409478935372,-48.21354280363836,-34.53826676501905
0*0-12,-200.92782723741175,-60.84842989415033,-414.35245270456073,-170.1481153786866
1*3-10,-28.199450468083725,-30.456189815970145,-31.79218152890358,-30.161653901592775
4*1-9,-29.80268860368052,-28.770191829703112,-29.67645562129661,-28.022723549733474
0*0-13,-482.76285564372995,-33.99165623735036,-107.05744329955725,-118.84543466167348
0*0-10,-351.9089098155683,-184.0780590254013,-822.6085202914437,-90.03308896829108
0*0-11,-735.8752197357184,-159.12592588617272,-662.5475105150626,-55.365344252747775
1*3-17,-22.629044788737705,-25.243705115848986,-26.73833016602281,-24.1408201960849
1*3-16,-106.88925630036277,-26.17998983721538,-26.266874760882843,-27.860423778548977
4*1-0,-23.27278255710971,-28.932177946802923,-27.925148740772723,-28.428095090661063
4*1-1,-24.438552329780734,-28.6405794492347,-27.628536532697733,-28.05875046247159
2*5-4,-68.0179601890737,-31.273327169987844,-48.35110519569345,-144.0306098327436
2*5-5,-42.36789041411502,-93.84462260715163,-37.228804493515305,-303.2905853166835
2*5-6,-37.89886804629699,-56.80522486497106,-36.87454653782186,-253.98628170346686
2*5-7,-34.20056660838838,-639.6047595275994,-228.39902084435985,-452.1425624495084
2*5-0,-283.8238151541071,-94.57301574967023,-514.9445181027477,-239.26781957369133
2*5-1,-336.64738506946026,-60.99181739688745,-256.6199755470705,-27.480105036865176
2*5-2,-174.45955890441678,-35.88724431090473,-169.76050003184235,-66.45515222718866
2*5-3,-56.575609913141,-27.413257760381327,-106.53477171349192,-44.227551242893455
3*3-16,-29.841403161082994,-29.715766528317662,-29.094497917255133,-27.61469882677597
3*3-17,-26.32528797267929,-28.8653818345821,-28.39993304644082,-29.70554970938758
3*3-14,-27.276834485098203,-24.991547601986724,-25.36190726855742,-25.884039614879114
3*3-15,-26.763430479417117,-21.74419531881521,-26.34592175037521,-26.2575656852989
2*5-8,-40.08189592008797,-170.9895921135574,-298.8872713732651,-507.0769381167109
3*3-12,-21.566274863153748,-29.985599962984473,-29.669965528031977,-28.3972572421089
3*3-0,-29.190484854661513,-31.357018476608182,-27.50506848999467,-30.34369459625114
3*3-13,-31.253286293877057,-31.2467010798921,-30.611866262580605,-28.951037981012156
2*5-9,-155.57088077280127,-187.09806872945452,-46.425769139710674,-157.07228421670666
3*3-10,-28.651571045709353,-27.91791915916424,-26.801030864128588,-29.12390883133392
3*3-11,-27.683229164186503,-27.08637252981613,-27.23937087436927,-23.97521036656867
3*4-2,-27.89138993879712,-28.147715574489066,-25.20820403842163,-27.86520736275257
3*4-3,-25.572489771485234,-27.608887413231457,-26.516738378052324,-19.2022093788438
3*4-0,-35.39409898665869,-23.98155216599856,-119.42939214488742,-31.668001493467987
3*4-1,-29.187560595723298,-28.896064162223748,-28.018968079506756,-24.182821088255967
3*4-6,-24.123396251312624,-30.011189010380026,-29.65667744887509,-30.55416957419665
3*4-7,-30.393489526837545,-30.05483820068378,-26.44837526378633,-36.827789207389344
3*4-4,-19.780958660003048,-29.279334986394105,-30.029548293031787,-27.78144647601713
3*4-5,-30.969646881954795,-31.028301722525626,-23.280385478694477,-29.613807296239518
3*4-8,-29.15124627249323,-27.953881290676787,-22.31492064614546,-28.995018792677826
3*4-9,-34.69441917933334,-29.483490108733996,-28.987013626205542,-34.14650428175251
4*2-1,-29.048420142024902,-28.595756866723615,-26.943009019340554,-28.408507181204932
4*2-2,-28.19779591220911,-28.97273548990247,-33.13486329959417,-26.67291437375033
4*2-3,-31.617640012647566,-30.39682597769224,-29.984393502154095,-29.03459942364648
4*2-4,-29.806488258915408,-29.126455189870452,-26.97103553553962,-28.951406664760096
4*2-5,-131.30121085022463,-69.43811559416852,-29.914755125248,-24.03435255050898
4*2-6,-27.20281871184067,-21.139134448726384,-29.689850484746497,-27.546511047143817
4*2-7,-26.331149196613744,-27.748370429115315,-23.26487867225988,-27.093637091593486
4*2-8,-29.680341793149555,-28.065742981979945,-27.733061191208755,-92.44219222618068
4*2-9,-27.825864497841643,-27.42651028414163,-26.876596595581223,-25.41615853723949
5*0-8,-164.63990442303015,-41.67930483454964,-818.0536380595096,-251.1157799112167
5*0-9,-697.0339067911018,-54.130113711354454,-568.8465310103898,-353.93103063823725
5*0-6,-410.3288542399636,-45.97108800078184,-570.9531642338686,-38.31809649113773
5*0-7,-279.5803652035687,-160.9079120279157,-389.47233501253334,-44.85864922538958
5*0-4,-869.1536889121661,-156.54727418656847,-415.96509334643747,-35.43164542193054
5*0-5,-286.60385576960675,-203.488766588194,-422.17156234161325,-37.85352245923902
5*0-2,-452.9689690593972,-311.90495984371057,-689.3343443104579,-221.75479257414293
