,0.0,0.0,5.0
92*false,0.0,0.0,0.0
-27*false,-12.683565136663724,-0.1849439844620607,12.715971173945954
-120*false,-10.0,0.0,0.0
9*false,-70.57213657674404,15.031463605109886,87.00380660109562
141*true,0.0,-0.25,0.0
32*true,-6.25218878554972,0.0,8.74912683776824
-14*false,-43.218877426183155,9.2052796841316,39.610885325894586
-67*false,0.0,-0.26293406176760026,4.991719151461915
-12*true,-0.00820836996800689,14.418799455597465,39.92237955621627
-127*true,0.0,-0.4875,5.0
65*false,-10.0,0.0,0.0
15*true,-18.798786643409883,1.5948776927388388,0.8412166015478125
-2*false,-12.130117381228816,25.934647743476525,110.55301172974458
12*false,-26.611471484396787,3.503781325879112,40.1800308592051
2*true,92.14225105728943,30.877560885416315,78.08920350966291
-111*true,0.0,-0.25,5.0
-106*false,0.0,0.0,9.75
-54*false,-9.265224575971782,0.0,0.0
25*false,3.1482383823646742,1.8649408387904214,12.662917043012358
-139*true,0.0,0.0,5.0
-24*true,-26.871079593563977,2.2972956361738324,7.956512082479967
-57*true,0.0,-0.23992562500000003,5.766385099806142
111*false,0.0,0.0,0.0
-86*true,-10.0,3.015329201821689,5.0
-138*false,0.0,-0.25,0.0
124*true,0.0,0.0,0.0
-132*true,-10.0,0.0,0.0
84*false,-9.025,0.0,0.0
19*true,-7.363233588171067,2.963455231687564,7.564617155351963
-35*false,3.827323095321183,-0.7006502883416985,5.583330798123036
44*false,-9.5,0.3170471558375751,12.026652295153873
-81*false,0.0,0.0,0.0
-62*true,0.0,0.0,0.2959023488678065
60*false,0.0,0.0,0.0
-19*false,-55.91456946572536,1.0741226564076198,39.85794107568371
-123*true,0.0,0.0,5.2250000000000005
-59*false,-17.357836387004085,0.0,6.166403032014191
4*false,-62.151084090738806,25.610630802331755,69.75951790748589
73*true,0.0,0.015536320204814397,5.0
-45*true,-16.18526382475664,-0.477894762908367,0.0
20*true,29.6408377279365,14.788432726069697,35.38973403973349
-99*false,0.0,0.0,5.2250000000000005
-74*true,0.0,0.2594873294912764,5.0
107*true,-10.0,-0.025,0.0
120*true,0.0,0.0,0.0
20*false,-12.20105405787068,3.6495566796198298,20.302480342700605
-161*true,0.0,0.0,0.0
48*true,0.010125000000000002,0.01247564373642912,0.0
78*false,0.0,0.0,0.0
-41*false,-9.547142248684613,-0.22731990897014884,7.296736163549781
89*true,-19.499544375,-0.25,5.0
38*false,4.802559388420903,0.0,1.2162923845856204
-48*false,0.0,-0.713125,5.602548597175229
31*false,0.0,-0.2321038614841214,9.481584507668915
-36*true,-9.238435664564843,0.0,5.225013466250001
-70*false,-9.047887392617618,0.0,0.0
174*true,0.0,0.0,5.0
-88*false,0.45285775131538747,0.0,0.0
164*false,-10.0,0.0,0.0
-20*false,-4.259618700322879,4.216162876721985,15.944372789234713
89*false,0.0,0.0,5.0
153*false,0.0,0.0,0.0
133*true,0.0,0.0,0.0
59*false,-10.0,0.0,5.0
-48*true,-19.262849839774248,0.23638519813936815,5.253004403097069
103*false,0.0,-0.2375,5.0
85*true,0.0,0.0,5.0
-65*true,0.0,0.0,0.0
-120*true,-9.764800558240971,0.0,0.0
-114*false,0.0,-0.25,0.0
-50*true,0.0,0.5136808714097805,14.838862993723206
10*false,-31.65332569922193,13.425933352232105,99.57931974489746
-46*false,-7.4826080027409,0.0,11.354639752005403
-32*true,0.0,-0.025,0.3814586012732445
-103*true,0.0,0.0,4.75
33*false,-17.78594149675252,-0.2347210971634344,0.0
-69*false,0.0,0.22648760738238247,0.0
149*true,0.0,0.0,5.0
-9*false,-45.10731822019005,9.896102483812234,67.22476038660147
11*true,-7.26661498028305,13.677211658630892,70.86844959305697
-19*true,-39.67525852833891,10.73659057028212,76.57091552087343
