:[17.186298219218624, 0.0, 0.0]
9-25*0:[74.09252959869322, 72.37624756473787, 63.33986594068087]
9-25*2:[52.296746103799194, 27.289478510619617, 23.485954124556237]
9-25*1:[57.623397570532624, 40.92818206742734, 35.53389885406289]
11-25*0:[61.643298942262405, 63.20676041795954, 52.263538101939034]
11-25*1:[39.33313857317644, 50.48936358990662, 34.34189470294839]
11-25*2:[47.84786349866255, 22.28938717151782, 31.17637900435466]
11-25*3:[49.834950182873655, 35.563997853124064, 30.074015780361073]
11-25*4:[45.96120868404135, 24.490156915555378, 25.107852557334155]
11-25*5:[37.11714663353597, 38.07616965789927, 29.82867866256094]
11-25*6:[47.00269655817559, 21.101193410726772, 23.4725524467744]
11-25*7:[44.05999899986069, 23.131310019005625, 42.21004813999526]
11-25*8:[41.48391522037453, 36.188906383429696, 35.12774796124295]
9-25*8:[41.3764892407388, 41.46079298889572, 39.74266484773791]
9-25*7:[44.565458412767704, 37.671051659343966, 33.43613818843611]
9-25*4:[55.66847585012574, 24.302904075194864, 16.46525533664761]
9-25*3:[53.23084940203872, 32.145450630567495, 33.78222561464466]
9-25*6:[44.76685643549207, 19.95501079559298, 17.878205482022487]
9-25*5:[49.67668202710773, 46.12102361466536, 27.744016830648505]
18-17*-7:[32.87880072311366, 17.62921436423514, 33.802692007563216]
18-17*-8:[38.74941316593325, 42.1984192194974, 38.756848703615695]
18-17*-3:[27.480434762667493, 22.8444506327996, 26.085912620515057]
18-17*-4:[30.19872621044614, 28.40443713534028, 37.92959379501852]
18-17*-5:[33.059023554564746, 26.540308901467885, 25.39925056351995]
18-17*-6:[34.09058245499712, 33.31408399208123, 29.06164676824916]
18-17*-1:[22.192704154117152, 25.007076014319292, 35.29118248991108]
18-17*-2:[40.942085790139764, 43.52962333314909, 26.92412521796523]
28-24*-6:[29.651565869898555, 17.457926560794345, 30.979040769797628]
24-22*4:[37.110825238270515, 5.3575404150254755, 9.435116818848222]
24-22*3:[18.442078850796374, 16.908119931435913, 6.747607416927062]
28-24*-7:[29.377118239257673, 18.58614295278647, 11.312329391528582]
28-24*-4:[40.6366513565597, 5.877600558465597, 18.594735541169285]
24-22*6:[49.28783314499062, 8.04153343879857, 12.514897926139472]
28-24*-5:[17.673951160764982, 14.599228705213386, 14.686435840467215]
24-22*5:[50.43463642095074, 11.82867342008046, 17.36562829972304]
24-22*0:[40.26395790707747, 39.81282043204899, 40.233022850723415]
28-24*-8:[31.971261972435805, 27.65344878704306, 34.17726183000174]
24-22*2:[13.703820679920431, 21.36726140398062, 3.312558221680952]
24-22*1:[32.76673564447614, 29.927351052583564, 13.014858660000915]
24-22*8:[33.383368948676114, 38.59514282412332, 33.35135177252195]
28-24*-2:[37.63874517507415, 4.702712284937514, 17.79676043573008]
24-22*7:[63.193815983478, 6.351286694494479, 9.568779181795028]
28-24*-3:[47.84284872051866, 1.4152634110430045, 13.735884963730108]
28-24*-1:[30.638797721982915, 11.630103283733694, 12.605536213405239]
11-12*8:[35.5789677521075, 35.11247140104278, 37.759548790518785]
11-12*7:[40.555272579709154, 40.04026150951188, 38.309884044350476]
11-12*6:[99.1474620853798, 30.758766095292458, 37.07940436546792]
11-12*5:[42.81090530070161, 29.679189693299573, 32.643183527874555]
11-12*4:[47.365872774829135, 38.04736025867951, 38.98366636813658]
11-12*3:[94.90170422684496, 27.70264813423464, 27.330641924312673]
18-30*-3:[21.3513937767434, 8.613542607741506, 18.940164587746743]
11-12*2:[43.69952700660741, 31.18788550103653, 37.61796356646528]
18-30*-2:[60.42503693811373, 41.80028515054754, 33.31733842792799]
11-12*1:[77.1730677696482, 28.537260468620275, 36.03488746600155]
18-30*-5:[60.59464845147447, 37.72725787324714, 8.124979593425113]
18-30*-4:[43.27130789498307, 23.22991072036603, 47.15601529607134]
11-12*0:[88.48590800248955, 56.64567137775603, 57.31428792900476]
27-34*0:[48.525825255754995, 41.884640325445204, 39.54320366867792]
18-30*-1:[49.93083256729432, 14.910595362233144, 23.637699380179306]
6-13*7:[47.59819593919796, 32.06933496331362, 30.6954301148444]
27-34*5:[31.264173481224358, 8.225486054539267, 3.466488808412339]
6-13*8:[35.09962452268903, 46.179270164254916, 51.82756769846925]
27-34*6:[43.26034495443044, 33.99810720043132, 10.323927900013889]
6-13*5:[70.33576578379575, 32.001020821501456, 29.198443777475738]
27-34*7:[34.769620933894174, 10.657858062348415, 10.205496063110594]
18-29*-8:[50.72721798748193, 41.54289491086822, 39.573984413007665]
27-34*8:[36.12563537623492, 35.18465370661834, 35.08347447120778]
6-13*6:[51.99635359320225, 24.37128144339869, 35.610887139552055]
18-30*-7:[43.59243806081298, 14.968147352473919, 18.64582194343071]
6-13*3:[99.55463484426193, 21.50747614743498, 46.042073629347485]
27-34*1:[20.140752710678314, 6.579349684720854, 10.611920866131353]
6-13*4:[59.23730901997806, 11.209419887334276, 19.893140951902716]
18-30*-6:[36.01947995151806, 35.533832261319006, 19.666780906759993]
27-34*2:[57.86741839053963, 3.20700529263897, 8.271577491761235]
27-34*3:[-7.0684886987987054, 5.051624946000905, 1.545804208962969]
6-13*1:[62.24806907090775, 56.99930151394002, 34.72858453614153]
18-30*-8:[36.19006489341059, 38.43842961664673, 36.961930534566406]
27-34*4:[13.70026164776279, 18.348785316608073, 6.788048612268472]
6-13*2:[54.67736590438487, 0.0, 14.819918502025828]
18-29*-3:[46.56926867429915, 13.316753101535905, 18.322848929132565]
18-29*-2:[45.745496734571645, 31.626831063599766, 25.436516833018935]
